연번,시군구,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
1,동구,한식,화롯불,062-224-6119,광주광역시 동구 백서로 168(서석동),돼지갈비(250g),16000,비빔밥,10000,알탕+알밥,11000,,
2,동구,한식,수라상,062-234-2002,광주광역시 동구 제봉로82번길 13-9(동명동),"찌개(된장,순두부,청국장,김치)",6000,"돌솥(된장,순두부,청국장,김치)",8000,"덮밥(낙지,새우,제육)",7000,,
3,동구,한식,밥's,062-222-2838,광주광역시 동구 지산로 211 102호(지산동),돈가스,4500,치즈돈가스,6000,"도리아(치킨, 해물, 김치, 피자)",4500,,
4,동구,한식,태능회관,062-234-2884,"광주광역시 동구 천변좌로 722, 1층(용산동)","돼지갈비(350g)-숯불, 돌판",15000,갈비탕,9000,비빔밥(익비),8000,,
5,동구,한식,대왕김밥(대인동),062-529-3363,"광주광역시 동구 구성로204번길 15-6, 1층(대인동)",김밥,3000,라면,3500,햄야채볶음밥,5000,,
6,동구,한식,죽사랑김밥사랑,062-227-0988,광주광역시 동구 필문대로287번길 23-17(지산동),김밥,3000,된장찌개,5000,라면,3500,,
7,동구,한식,학동김밥,062-225-3248,"광주광역시 동구 남문로 683, 1층(학동)",김밥,3000,라면,3500,된장찌개,5500,,
8,동구,한식,담양참숯돼지갈비,062-676-6077,광주광역시 동구 천변좌로 614-12(소태동),돼지갈비(250g),14000,떡갈비(300g),14000,,,,
9,동구,한식,소태회관,062-236-2465,광주광역시 동구 학소로 63(소태동),삼겹살(200g),14000,돼지갈비(300g),14000,야채비빔밥,7000,,
10,동구,중식,황후,062-234-0097,"광주광역시 동구 학소로 91, 1층(소태동)",짜장면,6000,짬뽕,7000,탕수육,21000,,
11,동구,한식,우리뷔페,062-364-3816,"광주광역시 동구 금남로 181, 1층 102호(금남로5가)",백반,6000,,,,,,
12,동구,한식,해뜨는식당,062-227-6063,"광주광역시 동구 제봉로190번길 7-1, 1층(대인동)",백반,1000,,,,,,
13,동구,한식,돈까스틱,062-376-2278,"광주광역시 동구 지산로 7, 2층(서석동)",왕돈가스,7500,순두부찌개,7500,돈가스+치즈돈가스,8000,,
14,동구,중식,짜앤짬탕수육,062-234-0052,"광주광역시 동구 제봉로212번길 2-8, 1층(대인동)",짜장면,4000,짬뽕,5000,탕수육(중),12000,,
15,동구,한식,마쏘라까망베르,062-224-5004,광주광역시 동구 필문대로205번길 19(지산동),돈가스(L),8000,돈가스(S),6000,"덮밥(해물, 김치제육)",7000,,
16,동구,한식,반디식당,062-222-0809,광주광역시 동구 구성로 258(계림동),백반,6000,,,,,,
17,동구,한식,원지식당,062-227-9934,광주광역시 동구 학소로 96(소태동),삼겹살(200g),13000,,,,,,
18,동구,한식,한우물,062-675-9944,광주광역시 동구 필문대로191번길 15-2(산수동),생선구이(모듬),9000,갈치조림(2인가능),11000,,,,
19,동구,한식,간42,062-234-8242,"광주광역시 동구 필문대로287번길 19-6, 1층(지산동)",수제돈가스,6000,김치찌개,5000,부대찌개,5500,,
20,동구,한식,미미상회,062-236-2879,"광주광역시 동구 백서로 182, 1층(서석동)",생삼겹(180g),11000,돼지갈비(250g),120000,목살(180g),11000,,
21,동구,중식,진 숯불갈비,0507-1482-7550,광주광역시 동구 무등로 529(산수동),짜장면,5000,짬뽕,7000,탕수육,19000,,
22,동구,한식,산수골,062-233-3318,광주광역시 동구 경양로 340(산수동),병어조림(2인),30000,,,,,,
23,동구,한식,명지원,062-227-3565,광주광역시 동구 구성로 252(계림동),생삼겹(200g),14000,비빔밥,8000,곰탕,8000,,
24,동구,한식,박순자녹두집,062-223-8694,광주광역시 동구 구성로204번길 26(대인동),수제비,6000,팥죽,7000,,,,
25,동구,한식,장독대,062-223-5630,"광주광역시 동구 문화전당로 43, 3층(광산동)",주물럭쌈밥(2인이상),12000,,,,,,
26,동구,한식,대왕김밥(학동),062-223-0868,광주광역시 동구 남문로 671(학동),김밥,3000,라면,3500,돈가스,7000,,
27,동구,한식,제주덕구 동명점,062-226-1020,"광주광역시 동구 동명로 4, 1층(장동)",김치찌개,7000,된장찌개,7000,김치생말이국수,6000,,
28,동구,한식,칠미,062-228-7228,"광주광역시 동구 지산로 69, 1층(지산동)",김밥,3000,김치찌개,8000,돌솥비빔밥,8000,,
29,동구,미용업,헤어디자이너 수빈,062-463-6402,"광주광역시 동구 의재로26번길 4-2, 1층(학동)",성인여자컷트,12000,성인남자컷트,10000,청소년,8000,,
30,동구,한식,서석식당,062-223-9009,"광주광역시 동구 백서로 171, 1층(서석동)",낚지비빔밥,9000,,,,,,
31,동구,한식,장터,062-228-0252,광주광역시 동구 백서로 180(서석동),삼겹살(180g),12000,갈비+제육(학생만),6000,제육볶음,8000,,
32,동구,한식,삼미식당,062-227-0391,광주광역시 동구 백서로189번길 14-32(서석동),간짜장,7000,짬뽕,7000,짜장,6000,,
33,동구,한식,참스민,062-232-3883,"광주광역시 동구 남문로 752-3, 1층(학동)",김밥,2500,라면,3000,"찌개(순두부,된장)",5500,,
34,동구,한식,종합분식,062-225-4928,광주광역시 동구 장동로 23-3(장동),"찌개(김치,참치,순두부,부대)",7000,볶음밥,7000,비빔밥,6000,,
35,동구,미용업,교대헤어매직,062-523-1269,"광주광역시 동구 무등로375번길 24, 1층(계림동)",성인여자컷트,12000,성인남자컷트,12000,대학생컷트,11000,,
36,동구,미용업,주영미용실,062-529-3184,"광주광역시 동구 무등로375번길 27-1, 1층(계림동)",성인남녀컷트,10000,,,,,,
37,동구,목욕업,명문목욕탕,062-227-2459,광주광역시 동구 지원로 5(소태동),목욕,6000,,,,,,
38,동구,한식,충오식육식당,062-228-7251,광주광역시 동구 구성로 154(수기동),삼겹살(200g),15000,,,,,,
39,동구,한식,계림동나주곰탕,062-225-0970,광주광역시 동구 구성로 262-9(계림동),곰탕,10000,,,,,,
40,동구,목욕업,호수목욕탕,062-226-1142,광주광역시 동구 구성로194번길 7-1(대인동),목욕,4000,,,,,,
41,동구,한식,옥땡김밥,062-263-0527,광주광역시 동구 무등로 503-1(산수동),김밥,2500,,,,,,
42,동구,한식,골목식당,062-224-2065,광주광역시 동구 서석로7번길 6-16(불로동),병어조림(2인),30000,김치찌개(2인),16000,,,,
43,동구,미용업,서림미용실,062-228-2909,"광주광역시 동구 운림길 23, 상가동 202호(운림동, 무등파크맨션)",성인여자컷트,10000,성인남자컷트,10000,,,,
44,동구,한식,대우회관,062-222-5595,광주광역시 동구 의재로26번길 3(학동),삼겹살(200g),13000,,,,,,
45,동구,한식,이가네한우방,062-222-4614,광주광역시 동구 의재로26번길 6(학동),삼겹살(200g),13000,,,,,,
46,동구,한식,전지적돼지시점,062-224-1656,광주광역시 동구 지산로 40(지산동),김치찌개,7500,,,,,,
47,동구,한식,보성웰빙식당,062-228-5530,광주광역시 동구 학소로106번길 19(소태동),삼겹살(200g),14000,,,,,,
48,동구,한식,담양국수,062-226-1174,광주광역시 동구 증심사길30번길 28-3 (운림동) 1층,멸치(비빔)국수,5000,,,,,,
49,동구,기타비요식업,백수인요가원,070-5025-1560,"광주광역시 동구 밤실로 147 (산수동, 두암타운) 상가동 2층",1개월권(주5회),100000,,,,,,
50,동구,양식,나젤로,062-223-2277,광주광역시 동구 필문대로153번길 29 (산수동) 1층,알리오올리오파스타,11000,,,,,,
51,동구,한식,덕산오징어보쌈,062-223-5868,광주광역시 동구 남문로622번길 20,점심백반,8000,,,,,,
52,동구,일식,이가진우동,062-233-3488,"광주광역시 동구 학소로 141, 1층",유부우동,5000,우동,5000,,,,
53,서구,세탁업,우미세탁소,062-384-7749,광주광역시 서구 상무민주로 122(쌍촌동),양복1벌드라이,6500,바지하단수선,3000,,,,
54,서구,세탁업,중흥세탁,062-385-2525,광주광역시 서구 상무민주로 104(쌍촌동),양복1벌드라이,6000,셔츠드라이,2000,블라우스드라이,3000,,
55,서구,미용업,주주헤어클럽,0507-1414-0901,광주광역시 서구 화정로 249(화정동),커트,12000,펌,35000,,,,
56,서구,세탁업,럭키세탁소,062-372-6901,광주광역시 서구 염화로40번길 20(화정동),양복1벌드라이,7000,,,,,,
57,서구,기타비요식업,히트노래방,062-362-9652,광주광역시 서구 내방로 346(화정동),1시간,10000,,,,,,
58,서구,한식,동해회바다,062-367-1023,광주광역시 서구 경열로26번길 3(농성동),생선초밥,10000,낙지비빔밥,9000,,,,
